Make_Id,Make_Name,Model_Id,Model_Name,Engine_Type,Engine_Fuel_Type,Engine_Cylinders,Engine_Horsepower_Hp,Engine_Drive_Type,Engine_Transmission,Body_Type
1,Acura,97,ILX,gas,premium unleaded (recommended),I4,201,front wheel drive,8-speed automated manual,Sedan
1,Acura,2,MDX,gas,premium unleaded (recommended),V6,290,front wheel drive,9-speed shiftable automatic,SUV
1,Acura,98,NSX,hybrid,premium unleaded (required),V6,573,all wheel drive,9-speed automated manual,Coupe
1,Acura,99,RDX,gas,premium unleaded (recommended),I4,272,front wheel drive,10-speed shiftable automatic,SUV
1,Acura,421,RLX,gas,premium unleaded (recommended),V6,310,front wheel drive,10-speed shiftable automatic,Sedan
1,Acura,100,TLX,gas,premium unleaded (recommended),I4,206,front wheel drive,8-speed automated manual,Sedan
24,Alfa Romeo,422,4C,gas,premium unleaded (required),I4,237,rear wheel drive,6-speed automated manual,Coupe
24,Alfa Romeo,101,Giulia,gas,premium unleaded (required),I4,280,all wheel drive,8-speed shiftable automatic,Sedan
24,Alfa Romeo,102,Stelvio,gas,premium unleaded (required),I4,280,rear wheel drive,8-speed shiftable automatic,SUV
44,Aston Martin,395,DB11,gas,premium unleaded (required),V12,630,rear wheel drive,8-speed shiftable automatic,Coupe
44,Aston Martin,396,DBS Superleggera,gas,premium unleaded (required),V12,715,rear wheel drive,8-speed shiftable automatic,Coupe
44,Aston Martin,398,Vantage,gas,premium unleaded (recommended),V8,510,rear wheel drive,7-speed manual,Coupe
2,Audi,103,A3,gas,regular unleaded,I4,228,all wheel drive,7-speed automated manual,Sedan
2,Audi,104,A4,gas,premium unleaded (required),I4,188,front wheel drive,7-speed automated manual,Sedan
2,Audi,105,A4 allroad,gas,premium unleaded (recommended),I4,248,all wheel drive,7-speed automated manual,Wagon
2,Audi,3,A5,gas,premium unleaded (recommended),I4,248,all wheel drive,7-speed automated manual,Convertible
2,Audi,106,A6,mild hybrid,premium unleaded (required),I4,248,all wheel drive,7-speed automated manual,Sedan
2,Audi,107,A6 allroad,mild hybrid,premium unleaded (required),V6,335,all wheel drive,7-speed automated manual,Wagon
2,Audi,108,A7,mild hybrid,premium unleaded (required),V6,335,all wheel drive,7-speed automated manual,Sedan
2,Audi,109,A8,mild hybrid,premium unleaded (required),V8,453,all wheel drive,8-speed shiftable automatic,Sedan
2,Audi,111,e-tron Sportback,electric,electric,none,402,all wheel drive,1-speed direct drive,SUV
2,Audi,6,Q3,gas,premium unleaded (recommended),I4,228,all wheel drive,8-speed shiftable automatic,SUV
